"Latitude" "Longitude" "Altitude" "Area" "Depth" "Temperature" "Secchi" "O2" "CO2" "CH4" "N2O" "pH" "TIC" "TOC" "TN" "TP" "NO3" "SiO2" "PO4" "PON" "POC" "POP" "Chla" "APA" "KdPAR" "PPA" "a.phyto.m" "a.dom.m" "a.tripton.m" "tot.phyto" "f.hetero" "esd" "car.chl" "G" "ZDW" "Zoopl.species" "Copepods" "Cladocera" "Fish.species" "C.P..at." "C.P.calc"
59.17518 6.10917 48 2.06 33 17.27 6 0.955645495 1.116601649 11.30678389 1.334206979 7.19 1.942 2.3695 1.012 2.35 781.8 313 1 11.85 68 3.6 4.4 50 0.35 993.04 0.06 0.44 0.04 0.510388097 0.024463276 12.6700315 0.228620624 33 274.35 7 2 5 3 49.29562365 48.7962963
58.86005 5.84783 25 2.83 32 17.64 3.15 0.920254925 1.732005755 14.74007989 1.183197292 7.265 2.239 3.6215 0.9617 6 674.25 700 3 79.08 430 6.6 5.76 42.06 0.68 514.66 0.1 0.67 0.1 0.593516853 0.013014677 15.61642377 0.223780226 32 27.69 9 4 5 5 169.3282475 168.3080808
59.52667 5.70417 15 2.17 18 16.41 1.1 0.990791364 0.777758612 38.97408956 1.830051421 7.53 1.358 4.0915 0.4789 18.9 190.45 659 7 151.2 1089 16.9 23.41 207.23 1.82 672.98 0.33 0.72 0.21 5.027636936 0.009080168 9.888520539 0.087527418 19 6.11 8 4 4 5 165.9486643 166.464497
59.09575 5.97535 54 2.66 60 17.87 5.5 0.922102727 1.699916145 17.18525263 1.269128289 6.965 1.654 3.122 0.6077 3.6 327.9 224 3 64.78 337 4.6 3.01 21.07 0.45 427.42 0.04 0.59 0.04 0.373448525 0.032503516 20.33680553 0.263157895 29 38.63 7 3 4 4 190.8164569 189.2572464
61.55793 6.40045 207 39.25 46 9.93 10 0.919218258 1.667046846 4.192702721 1.306055124 6.33 0.164 0.6647 0.2853 0.5 121 849 -1 17.91 85 2.2 1.41 4.13 0.26 565.5 0.04 0.25 0.01 0.15803092 0.009958178 8.676579597 0.260465116 23 29.29 6 1 5 3 97.84573621 99.81060606
61.91457 7.07673 29 22.97 20 12.6 2.2 0.938943823 1.364487228 5.373092465 1.265613004 6.56 0.3718 0.3441 0.1142 1.7 61.35 1409 1 14.99 91 3.6 1.72 4 0.5 374.16 0.04 0.44 0.06 0.09017839 0.040789151 6.871623501 0.23824617 13 31.35 5 2 3 5 65.17737333 65.30092593
59.40163 8.23 72 26.67 14 14.56 5 0.899854027 1.797505545 12.71689398 1.253091824 6.79 0.7468 2.588 0.1948 1.2 67.95 1757 -1 30.05 156 2.4 2.34 14.89 0.66 146.57 0.06 0.46 0.05 0.206824756 0.045646349 8.179176274 0.196958457 32 13.04 9 4 5 6 165.0094198 167.9166667
59.70705 7.75917 540 1.62 27 14.71 5.8 0.893815572 2.034936051 33.7633891 1.400162236 6.745 0.6554 2.542 0.152 1.55 17.2 1787 -1 21.31 133 2.9 1.53 15.39 0.42 486.78 0.06 0.48 0.04 0.183742496 0.040927277 7.922587145 0.259779951 23 33.01 6 3 3 2 120.1629794 118.4770115
59.6123 7.85217 466 3.23 13 12.84 7.2 0.903291342 1.703622962 20.22197541 1.304705549 6.68 0.5226 3.49 0.1655 1.05 43.25 1733 -1 25.31 126 2.5 1.12 13.36 0.4 190.19 0.04 0.4 0.03 0.102309468 0.041694039 8.143311556 0.266245487 33 9.33 7 3 4 3 127.9909917 130.2
59.16333 10.05777 7 1.14 20 17.47 1.5 0.793676327 5.820462557 49.4096219 2.033016566 7.07 2.841 7.1105 1.118 20.2 774.2 5010 8 105.75 612 9.9 7.65 13.39 1.37 869.05 0.17 1.48 0.21 1.204599157 0.005988345 13.94919081 0.184814597 34 65 11 5 6 9 159.0159426 159.6969697
59.5884 10.05265 36 3.01 12.1 18.85 1.05 0.983792751 0.040846096 162.8673009 1.277672882 8.875 5.045 7.0695 0.3692 17.85 15.2 5468 4 491.77 3371 16 29.48 77.7 2.36 450.16 0.23 1.21 0.26 6.566643665 0.000820859 7.451642427 0.120586154 30 52.4 15 6 9 10 545.2060533 544.2760417
59.1725 10.165 28 3.4 16 17.85 1.5 0.840265439 6.478663846 101.68004 4.204209943 7.225 4.215 6.576 1.526 27.45 1153.35 5281 16 165.08 940 15 16.14 16.3 1.46 739.37 0.12 1.33 0.12 1.787028415 0.009088297 12.86751733 0.200170285 39 132.23 13 6 7 13 161.8105446 161.8888889
59.1725 10.165 28 3.4 16 17.85 1.5 0.840265439 6.478663846 101.68004 4.204209943 7.225 4.215 6.576 1.526 27.45 1153.35 5281 16 165.08 940 15 16.14 16.3 1.46 739.37 0.12 1.33 0.12 1.787028415 0.009088297 12.86751733 0.200170285 39 132.23 13 6 7 13 161.8105446 161.8888889
59.02527 9.90917 48 3.66 45 18.25 4.3 0.891119075 2.53296849 24.53902277 1.197560399 6.915 1.087 5.0125 0.7408 2 494.05 3955 1 18.82 170 2.8 2.06 22.88 0.85 133.34 0.04 0.7 0.05 0.293791181 0.012102184 10.8998039 0.176220807 41 36.03 11 4 7 8 158.3003173 156.8452381
59.90368 15.70288 130 1.67 5.5 20.61 3.1 0.86317133 1.54829563 23.30502533 1.108188157 7.1 1.618 6.2165 0.2535 3 1.85 2924 1 48.51 342 4.4 2.27 77.56 0.85 260.3 0.04 0.59 0.12 0.520679229 0.035244646 9.604093268 0.190654206 48 33.88 13 4 9 6 201.4583177 200.7954545
58.9535 16.26353 27 1.87 14 20.52 1.9 0.643802127 4.440923397 90.93121877 1.560867596 7.515 6.587 12.895 0.9127 16.3 232.15 320 6 171.08 955 10.2 11.28 401.02 1.11 894.99 0.13 1.34 0.19 1.196258165 0.009943192 13.89205755 0.11067717 47 71.18 19 6 13 13 242.7815762 241.870915
59.59112 18.52145 28 1.38 14 21.41 6 0.876189611 0.399138293 80.07065979 1.13505235 7.995 9.187 6.3915 0.3459 4.9 0 234 1 47.24 363 3.8 2.05 31.88 0.46 303.37 0.03 0.22 0.04 0.14830986 0.037425361 16.20794368 0.214191274 38 50.97 12 4 8 17 243.9017065 246.7763158
